CRM_ID,hits_customDimensions_value,gender,birthday,state_code,annual_income_dollar,create_date,customer_level,CV_flag
1000001,112192889.1407927978,M,6/20/1954,WA,65000,6/20/2012,Bronze,0
1000002,123139122.1408273999,M,1/21/1989,FL,59000,4/21/2004,Gold,0
1000003,174209287.1408228726,M,4/5/1974,CA,240000,6/17/1992,Gold,0
1000004,174257283.1406647919,F,12/12/1960,WA,24000,5/5/2005,Silver,0
1000005,185333971.1408244948,F,6/20/1954,TX,0,6/20/2012,Bronze,0
1000006,243643931.1408268749,M,1/21/1989,WA,56000,4/21/2004,Bronze,0
1000007,456324666.1408257914,M,4/5/1974,WA,120000,6/17/1992,Gold,0
1000008,1264434302.1408276507,M,12/12/1960,FL,4100000,5/5/2005,Gold,0
1000009,1383082435.1408275801,M,6/20/1954,CA,240000,6/20/2012,Silver,0
1000010,1881830442.1408223378,F,1/21/1989,WA,100000,4/21/2004,Bronze,0
1000011,3301985.1409962684,F,4/5/1974,TX,80000,6/17/1992,Bronze,0
1000012,302132893.1409997177,M,12/12/1960,WA,65000,5/5/2005,Gold,0
1000013,305580095.1409984048,M,6/20/1954,WA,30000,6/20/2012,Gold,0
1000014,380752573.1409930870,M,1/21/1989,FL,,4/21/2004,Silver,1
1000015,411229698.1397489822,M,4/5/1974,CA,56000,6/17/1992,Bronze,1
1000016,685827452.1410008372,F,12/12/1960,WA,0,5/5/2005,Bronze,1
1000017,832544111.1409996933,F,6/20/1954,TX,65000,6/20/2012,Gold,0
1000018,944079045.1409964636,M,1/21/1989,WA,59000,4/21/2004,Gold,0
1000019,1047532097.1410002186,M,4/5/1974,WA,240000,6/17/1992,Silver,0
1000020,1114872244.1410014751,M,12/12/1960,FL,24000,5/5/2005,Bronze,0
1000021,1140882121.1409967412,M,6/20/1954,CA,0,6/20/2012,Bronze,0
1000022,1393488660.1409987858,F,1/21/1989,WA,56000,4/21/2004,Gold,0
1000023,1555314950.1409902282,F,4/5/1974,TX,120000,6/17/1992,Gold,1
1000024,1711103451.1410001560,M,12/12/1960,WA,4100000,5/5/2005,Silver,0
